date,h
1935-05-01 00:01:00,237.0
1935-06-08 07:00:00,132.0
1935-07-16 07:00:00,108.0
1935-08-29 07:00:00,103.0
1935-09-14 07:00:00,96.0
1935-10-21 07:00:00,93.0
1935-11-15 07:00:00,117.0
1935-12-23 07:00:00,325.0
1936-01-23 07:00:00,449.0
1936-02-26 07:00:00,423.0
1936-03-01 00:01:00,257.0
1936-04-07 07:00:00,180.0
1936-05-01 00:01:00,144.0
1936-06-24 07:00:00,111.0
1936-07-25 07:00:00,150.0
1936-08-06 07:00:00,177.0
1936-09-30 07:00:00,127.0
1936-10-04 07:00:00,116.0
1936-11-22 07:00:00,161.0
1936-12-13 07:00:00,121.0
1937-01-27 07:00:00,241.0
1937-02-28 23:59:00,485.0
1937-03-04 07:00:00,521.0
1937-04-04 07:00:00,247.0
1937-05-01 00:01:00,184.0
1937-06-10 07:00:00,131.0
1937-07-02 07:00:00,138.0
1937-08-05 07:00:00,114.0
1937-09-16 07:00:00,103.0
1937-10-30 07:00:00,137.0
1937-11-26 07:00:00,111.0
1937-12-18 07:00:00,151.0
1938-01-31 23:59:00,282.0
1938-02-02 07:00:00,299.0
1938-03-04 07:00:00,143.0
1938-04-08 07:00:00,104.0
1938-05-10 07:00:00,105.0
1938-06-26 07:00:00,99.0
1938-07-05 07:00:00,109.0
1938-08-17 07:00:00,100.0
1938-09-02 07:00:00,141.0
1938-10-04 07:00:00,95.0
1938-11-24 07:00:00,113.0
1938-12-09 07:00:00,129.0
1939-01-27 07:00:00,367.0
1939-02-01 00:01:00,265.0
1939-03-12 07:00:00,220.0
1939-04-08 07:00:00,219.0
1939-05-22 07:00:00,197.0
1939-06-23 07:00:00,155.0
1939-07-01 07:00:00,119.0
1939-08-22 07:00:00,111.0
1939-09-22 07:00:00,113.0
1939-10-31 23:59:00,445.0
1939-11-04 07:00:00,509.0
1939-12-01 00:01:00,411.0
1940-01-31 23:59:00,299.0
1940-02-23 07:00:00,413.0
1940-03-01 00:01:00,294.0
1940-04-30 23:59:00,327.0
1940-05-07 07:00:00,335.0
1940-06-28 07:00:00,125.0
1940-07-30 07:00:00,136.0
1940-08-03 07:00:00,133.0
1940-09-30 23:59:00,120.0
1940-10-03 07:00:00,129.0
1940-11-21 07:00:00,189.0
1940-12-15 07:00:00,249.0
1941-01-31 07:00:00,535.0
1941-02-11 07:00:00,573.0
1941-03-03 07:00:00,410.0
1941-04-10 07:00:00,243.0
1941-05-01 07:00:00,145.0
1941-06-17 07:00:00,219.0
1941-07-01 00:01:00,150.0
1941-08-05 07:00:00,119.0
1941-09-12 07:00:00,108.0
